geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness
8,15,GC,11.6097,15.6097,0.0
8,16,IC,11.6097,15.6097,0.0
8,17,JD,13.4869,17.4869,0.0
9,1,AB,11.9909,13.9909,0.1299
9,2,BC,9.5912,13.5912,0.1299
9,3,CD,9.5912,13.5912,0.1299
9,4,DE,11.9909,13.9909,0.1299
9,5,FG,12.003,16.003,0.1299
9,6,GH,9.6224,13.6224,0.1299
9,7,HI,9.6224,13.6224,0.1299
9,8,IJ,12.003,16.003,0.1299
9,9,AF,5.2095,7.2095,0.1299
9,10,GB,5.7484,9.7484,0.1299
9,11,HC,4.9739,8.9739,0.1299
9,12,ID,5.7484,9.7484,0.1299
9,13,EJ,5.2095,7.2095,0.1299
9,14,FB,13.0737,17.0737,0.1299
9,15,GC,11.1819,15.1819,0.1299
9,16,IC,11.1819,15.1819,0.1299
9,17,JD,13.0737,17.0737,0.1299
10,1,AB,11.777,13.777,0.1932
10,2,BC,9.8134,13.8134,0.1932
10,3,CD,9.8134,13.8134,0.1932
10,4,DE,11.777,13.777,0.1932
10,5,FG,11.7782,15.7782,0.1932
10,6,GH,9.8193,13.8193,0.1932
10,7,HI,9.8193,13.8193,0.1932
10,8,IJ,11.7782,15.7782,0.1932
10,9,AF,5.643,7.643,0.1932
10,10,GB,5.4766,9.4766,0.1932
10,11,HC,5.8161,9.8161,0.1932
10,12,ID,5.4766,9.4766,0.1932
10,13,EJ,5.643,7.643,0.1932
10,14,FB,13.0591,17.0591,0.1932
10,15,GC,11.2381,15.2381,0.1932
10,16,IC,11.2381,15.2381,0.1932
10,17,JD,13.0591,17.0591,0.1932
11,1,AB,11.7865,13.7865,0.1942
11,2,BC,10.0,14.0,0.1942
11,3,CD,10.0,14.0,0.1942
11,4,DE,11.7865,13.7865,0.1942
11,5,FG,11.8082,15.8082,0.1942
11,6,GH,10.0034,14.0034,0.1942
11,7,HI,10.0034,14.0034,0.1942
11,8,IJ,11.8082,15.8082,0.1942
