geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness,No1_X,No1_Y,No2_X,No2_Y
5,1,AB,11.3051,13.3051,0.0,0.0,0.0,11.3051,0.0
5,2,BC,9.6827,13.6827,0.0,11.3051,0.0,20.9877,0.0
5,3,CD,9.6827,13.6827,0.0,20.9877,0.0,30.6704,0.0
5,4,DE,11.3051,13.3051,0.0,30.6704,0.0,41.9755,0.0
5,5,FG,11.3564,15.3564,0.0,0.0,5.7813,11.3051,6.8595
5,6,GH,9.7079,13.7079,0.0,11.3051,6.8595,20.9877,7.5583
5,7,HI,9.7079,13.7079,0.0,20.9877,7.5583,30.6704,6.8595
5,8,IJ,11.3564,15.3564,0.0,30.6704,6.8595,41.9755,5.7813
5,9,AF,5.7813,7.7813,0.0,0.0,0.0,0.0,5.7813
5,10,GB,6.8595,10.8595,0.0,11.3051,6.8595,11.3051,0.0
5,11,HC,7.5583,11.5583,0.0,20.9877,7.5583,20.9877,0.0
5,12,ID,6.8595,10.8595,0.0,30.6704,6.8595,30.6704,0.0
5,13,EJ,5.7813,7.7813,0.0,41.9755,0.0,41.9755,5.7813
5,14,FB,12.6976,16.6976,0.0,0.0,5.7813,11.3051,0.0
5,15,GC,11.8662,15.8662,0.0,11.3051,6.8595,20.9877,0.0
5,16,IC,11.8662,15.8662,0.0,30.6704,6.8595,20.9877,0.0
5,17,JD,12.6976,16.6976,0.0,41.9755,5.7813,30.6704,0.0
6,1,AB,11.3051,13.3051,0.0,0.0,0.0,11.3051,0.0
6,2,BC,9.6827,13.6827,0.0,11.3051,0.0,20.9877,0.0
6,3,CD,9.6827,13.6827,0.0,20.9877,0.0,30.6704,0.0
6,4,DE,11.3051,13.3051,0.0,30.6704,0.0,41.9755,0.0
6,5,FG,11.3564,15.3564,0.0,0.0,5.7813,11.3051,6.8595
6,6,GH,9.7079,13.7079,0.0,11.3051,6.8595,20.9877,7.5583
6,7,HI,9.7079,13.7079,0.0,20.9877,7.5583,30.6704,6.8595
6,8,IJ,11.3564,15.3564,0.0,30.6704,6.8595,41.9755,5.7813
6,9,AF,5.7813,7.7813,0.0,0.0,0.0,0.0,5.7813
